[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeCoarseUvMatching.vue → 200 (103ms, 53926B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeOrangePeelUvMatching.vue → 200 (103ms, 54010B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeSandblastUvMatching.vue → 200 (103ms, 53989B)
[2026-06-23T01:23:38.774Z] GET http://localhost:5173/src/views/matching/SiliconeWrinkleUvMatching.vue → 200 (103ms, 53947B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/SiliconeWatercolorInkMatching.vue → 200 (104ms, 54063B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/SiliconeMicaPearlMatching.vue → 200 (111ms, 53943B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/LaminationMaterialMatching.vue → 200 (112ms, 59586B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/LeoBookBoardMatching.vue → 200 (165ms, 70846B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/LeoFlatMatching.vue → 200 (165ms, 70760B)
[2026-06-23T01:23:38.775Z] GET http://localhost:5173/src/views/matching/LeoNonFlatMatching.vue → 200 (165ms, 70850B)
[2026-06-23T01:23:38.776Z] GET http://localhost:5173/src/views/matching/LeoMatching.vue → 200 (164ms, 83708B)
[2026-06-23T01:23:38.777Z] GET http://localhost:5173/src/views/matching/SiliconeMatching.vue → 200 (164ms, 83418B)
[2026-06-23T01:23:38.777Z] GET http://localhost:5173/src/components/layout/ProcessNavigation.vue → 200 (164ms, 52782B)
[2026-06-23T01:23:38.777Z] GET http://localhost:5173/src/stores/process.ts → 200 (163ms, 3628B)
[2026-06-23T01:23:38.777Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 200 (163ms, 1126B)
[2026-06-23T01:23:38.778Z] GET http://localhost:5173/src/api/modules/auth.ts → 200 (163ms, 1455B)
[2026-06-23T01:23:38.778Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-YFT6OQ5R.js?v=f8a47250 → 200 (163ms, 4624B)
[2026-06-23T01:23:38.778Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-HYZ2CRGS.js?v=f8a47250 → 200 (163ms, 467B)
[2026-06-23T01:23:38.780Z] GET http://localhost:5173/src/api/modules/role.ts → 200 (161ms, 3250B)
[2026-06-23T01:23:38.780Z] GET http://localhost:5173/src/api/modules/permission.ts → 200 (162ms, 4432B)
[2026-06-23T01:23:38.786Z] GET http://localhost:5173/src/components/layout/ProcessSidebar.vue → 200 (156ms, 11784B)
[2026-06-23T01:23:38.786Z] GET http://localhost:5173/src/components/tech/TechManagementContent.vue → 200 (156ms, 80832B)
